[START] 'DTD LIVE Table_0924.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0924_mp4_2025-06-27T05:14:10.539Z)
Time: 130.00s | Status: 얼굴 미검출
Time: 130.50s | Status: 얼굴 미검출
Time: 131.00s | Score: 754.22 | Status: 선명
Time: 131.50s | Score: 798.64 | Status: 선명
Time: 132.00s | Score: 751.36 | Status: 선명
Time: 132.50s | Score: 610.89 | Status: 선명
Time: 133.00s | Score: 656.40 | Status: 선명
Time: 133.50s | Score: 829.84 | Status: 선명
Time: 134.00s | Score: 748.05 | Status: 선명
Time: 134.50s | Score: 728.38 | Status: 선명
Time: 135.00s | Score: 726.55 | Status: 선명
Time: 135.50s | Status: 얼굴 미검출
Time: 136.00s | Score: 837.34 | Status: 선명
Time: 136.50s | Score: 710.49 | Status: 선명
Time: 137.00s | Score: 680.76 | Status: 선명
Time: 137.50s | Score: 960.63 | Status: 선명
Time: 138.00s | Score: 765.27 | Status: 선명
Time: 138.50s | Score: 716.21 | Status: 선명
Time: 139.00s | Score: 740.40 | Status: 선명
Time: 139.50s | Score: 627.88 | Status: 선명
Time: 140.00s | Score: 694.02 | Status: 선명
Time: 140.50s | Score: 852.32 | Status: 선명
Time: 141.00s | Score: 705.27 | Status: 선명
Time: 141.50s | Score: 688.07 | Status: 선명
Time: 142.00s | Score: 528.18 | Status: 선명
Time: 142.50s | Score: 343.15 | Status: 선명
Time: 143.00s | Score: 167.77 | Status: 선명
Time: 143.50s | Score: 261.45 | Status: 선명
Time: 144.00s | Score: 429.16 | Status: 선명
Time: 144.50s | Score: 542.84 | Status: 선명
Time: 145.00s | Score: 265.83 | Status: 선명
Time: 145.50s | Score: 216.75 | Status: 선명
Time: 146.00s | Score: 229.57 | Status: 선명
Time: 146.50s | Score: 249.04 | Status: 선명
Time: 147.00s | Score: 315.81 | Status: 선명
Time: 147.50s | Score: 222.37 | Status: 선명
Time: 148.00s | Status: 얼굴 미검출
Time: 148.50s | Status: 얼굴 미검출
Time: 149.00s | Score: 149.72 | Status: 선명
Time: 149.50s | Score: 131.95 | Status: 선명
