[START] 'LUXON Table_0726.mp4' 분석을 시작합니다. (ID: LUXON_Table_0726_mp4_2025-06-27T09:23:46.556Z)
Time: 248.00s | Score: 168.38 | Status: 선명
Time: 248.50s | Score: 106.93 | Status: 선명
Time: 249.00s | Score: 111.86 | Status: 선명
Time: 249.50s | Status: 미검출
Time: 250.00s | Score: 87.97 | Status: 선명
Time: 250.50s | Score: 116.97 | Status: 선명
Time: 251.00s | Score: 114.18 | Status: 선명
Time: 251.50s | Score: 92.60 | Status: 선명
Time: 252.00s | Score: 164.68 | Status: 선명
Time: 252.50s | Score: 423.93 | Status: 선명
Time: 253.00s | Score: 204.94 | Status: 선명
Time: 253.50s | Score: 270.55 | Status: 선명
Time: 254.00s | Score: 125.26 | Status: 선명
Time: 254.50s | Score: 93.87 | Status: 선명
Time: 255.00s | Score: 68.53 | Status: 선명
Time: 255.50s | Score: 121.71 | Status: 선명
Time: 256.00s | Score: 120.75 | Status: 선명
Time: 256.50s | Score: 68.91 | Status: 선명
Time: 257.00s | Score: 175.41 | Status: 선명
Time: 257.50s | Score: 92.86 | Status: 선명
Time: 258.00s | Score: 182.16 | Status: 선명
Time: 258.50s | Score: 94.35 | Status: 선명
Time: 259.00s | Score: 140.71 | Status: 선명
Time: 259.50s | Score: 132.03 | Status: 선명
Time: 260.00s | Score: 152.87 | Status: 선명
Time: 260.50s | Score: 149.31 | Status: 선명
Time: 261.00s | Score: 163.96 | Status: 선명
Time: 261.50s | Score: 153.49 | Status: 선명
Time: 262.00s | Score: 104.13 | Status: 선명
Time: 262.50s | Score: 114.82 | Status: 선명
Time: 263.00s | Score: 110.52 | Status: 선명
Time: 263.50s | Score: 110.90 | Status: 선명
Time: 264.00s | Score: 109.95 | Status: 선명
Time: 264.50s | Score: 99.92 | Status: 선명
Time: 265.00s | Score: 145.88 | Status: 선명
Time: 265.50s | Score: 133.69 | Status: 선명
Time: 266.00s | Score: 106.38 | Status: 선명
Time: 266.50s | Score: 105.07 | Status: 선명
Time: 267.00s | Score: 84.33 | Status: 선명
Time: 267.50s | Score: 66.50 | Status: 선명
Time: 268.00s | Score: 70.53 | Status: 선명
Time: 268.50s | Score: 142.24 | Status: 선명
Time: 269.00s | Score: 244.48 | Status: 선명
Time: 269.50s | Score: 127.69 | Status: 선명
Time: 270.00s | Score: 132.85 | Status: 선명
Time: 270.50s | Score: 138.41 | Status: 선명
Time: 271.00s | Score: 117.87 | Status: 선명
Time: 271.50s | Score: 132.08 | Status: 선명
Time: 272.00s | Score: 103.75 | Status: 선명
Time: 272.50s | Score: 76.19 | Status: 선명
Time: 273.00s | Score: 154.85 | Status: 선명
Time: 273.50s | Score: 143.48 | Status: 선명
Time: 274.00s | Score: 144.51 | Status: 선명
Time: 274.50s | Score: 167.92 | Status: 선명
